"payment date","payment time","Receipt number / ID","INV. No","cash tray code","menu name","order type","quantity","unit price","balance before reduction","all discounts","Total discount %","net price","Item tax type","table","customer name","telephone number","payment type","note","group","Category","branch"
"01/10/2022","07:47","UTF9R","","OV9","P ลาเตั/Latteปกติ x 3กลับบ้าน x 150% x 1","Take Away","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Frappe","1"
"01/10/2022","07:47","UTF9R","","OV9","ลาเต้/Latteปกติ x 1กลับบ้าน x 1","Take Away","1","45","45.00","0","0","45.00","VATable","Counter","","","Cash","","","Hot","1"
"01/10/2022","08:10","Q3NFU","","OV9","ชาเขียว/Green Milk Teaปกติ x 175% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","08:26","FABB7","","OV9","H โกโก้/Hot Cocoaกลับบ้าน x 1","Dine-In","2","45","90.00","0","0","90.00","VATable","Counter","","","คนละครึ่ง","","","Hot","1"
"01/10/2022","08:26","FABB7","","OV9","โกโก้/Cocoaปกติ x 175% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","08:26","FABB7","","OV9","I เอสเพรสโซ่/Iced Espressoปกติ x 250% x 1","Dine-In","2","55","110.00","0","0","110.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","08:30","9NTGS","","OV9","อเมริกาโน่/Americanoปกติ x 2กลับบ้าน x 1","Take Away","1","45","45.00","0","0","45.00","VATable","Counter","","","คนละครึ่ง","","","Hot","1"
"01/10/2022","08:44","SCN36","","OV9","I ลาเต้/Iced Latteปกติ x 225% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","08:54","EJB06","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","08:54","EJB06","","OV9","ชานม/Thai milk Tea100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","08:54","EJB06","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 275% x 1","Take Away","2","55","110.00","0","0","110.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","08:55","C8YLD","","OV9","P เอสเพรสโซ่/Espressoปกติ x 3กลับบ้าน x 175% x 1","Take Away","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Frappe","1"
"01/10/2022","08:55","C8YLD","","OV9","ชานม/Thai milk Tea75% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","09:19","SNQ33","","OV9","I อเมริกาโน่/Iced Americanoปกติ x 20% x 1","Take Away","2","55","110.00","0","0","110.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","09:19","SNQ33","","OV9","ชาเขียว/Green Milk Teaปกติ x 125% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","09:46","3CU41","","OV9","I อเมริกาโน่/Iced Americanoปกติ x 250% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","09:46","3CU41","","OV9","คุกกีัไอศครีม","Dine-In","1","20","20.00","0","0","20.00","VATable","Counter","","","Cash","","","Cookie","1"
"01/10/2022","09:52","TRSQV","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 2100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","09:53","R1DF9","","OV9","P ชาเขียว/Green Milk Teaปกติ x 3กลับบ้าน x 1100% x 1","Dine-In","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Frappe","1"
"01/10/2022","09:58","DP8XF","","OV9","มันทอด/Fried Potato","Dine-In","1","25","25.00","0","0","25.00","VATable","Counter","","","Cash","","","ขนมขบเคี้ยว","1"
"01/10/2022","10:07","JXKTZ","","OV9","P คาปูชิโน่/Cappucinoปกติ x 3กลับบ้าน x 1100% x 1","Dine-In","2","65","130.00","0","0","130.00","VATable","Counter","","","โอนเงิน","","","Frappe","1"
"01/10/2022","10:07","JXKTZ","","OV9","คุกกี้กาแฟ","Dine-In","2","15","30.00","0","0","30.00","VATable","Counter","","","โอนเงิน","","","Cookie","1"
"01/10/2022","10:07","JXKTZ","","OV9","คุกกีัไอศครีม","Dine-In","1","20","20.00","0","0","20.00","VATable","Counter","","","โอนเงิน","","","Cookie","1"
"01/10/2022","10:12","5P99M","","OV9","ลาเต้/Latteปกติ x 1ทานที่ร้าน x 1","Take Away","1","45","45.00","0","0","45.00","VATable","Counter","","","Cash","","","Hot","1"
"01/10/2022","10:13","XKFJE","","OV9","I ลาเต้/Iced Latteปกติ x 250% x 1","Take Away","2","55","110.00","0","0","110.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","10:13","XKFJE","","OV9","I อเมริกาโน่/Iced Americanoปกติ x 2100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","10:41","7BUGL","","OV9","I อเมริกาโน่/Iced Americanoปกติ x 275% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","10:57","GJPRZ","","OV9","I เอสเพรสโซ่/Iced Espressoปกติ x 275% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","11:19","U6DM3","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 2100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","11:42","AX2AK","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","11:49","DL6FT","","OV9","คุกกี้กาแฟ","Dine-In","1","15","15.00","0","0","15.00","VATable","Counter","","","Cash","","","Cookie","1"
"01/10/2022","11:50","X16EQ","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","11:57","CRVXG","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 1วิปปิ้งครีม x 1100% x 1","Dine-In","1","70","70.00","0","0","70.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:05","GX6DJ","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Take Away","2","55","110.00","0","0","110.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:09","G5N5M","","OV9","มัจฉะ มีเดียม/Matcha Medium","Take Away","1","75","75.00","0","0","75.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:09","G5N5M","","OV9","ชานม/Thai milk Tea75% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:10","DMMG4","","OV9","P ชอคโกแลต/Chocolateปกติ x 2กลับบ้าน x 1100% x 1","Dine-In","1","65","65.00","0","0","65.00","VATable","Counter","","","โอนเงิน","","","Frappe","1"
"01/10/2022","12:10","DMMG4","","OV9","คุกกีัไอศครีม","Dine-In","1","20","20.00","0","0","20.00","VATable","Counter","","","โอนเงิน","","","Cookie","1"
"01/10/2022","12:19","JRBDL","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:19","JRBDL","","OV9","P ชาเขียว/Green Milk Teaปกติ x 3กลับบ้าน x 1100% x 1","Dine-In","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Frappe","1"
"01/10/2022","12:19","JRBDL","","OV9","โกโก้/Cocoaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:26","RBUK6","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
"01/10/2022","12:28","ODUGI","","OV9","มัจฉะ มีเดียม/Matcha Medium","Dine-In","1","75","75.00","0","0","75.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:28","ODUGI","","OV9","Iดัลโกน่า/Dalgona","Dine-In","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:28","ODUGI","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:28","ODUGI","","OV9","ชามะนาว/Lemon Tea100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:41","O8PGK","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:49","BK80U","","OV9","I ลาเต้/Iced Latteปกติ x 2100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:51","JQICT","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","12:55","VNAUX","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 2100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","13:00","38A83","","OV9","P โกโกั/Cocoaน้อย x 1ปกติ x 1กลับบ้าน x 1100% x 1","Dine-In","1","65","65.00","0","0","65.00","VATable","Counter","","","Cash","","","Frappe","1"
"01/10/2022","13:00","38A83","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","13:00","38A83","","OV9","ชอคโกแลตหน้านิ่ม/Chocolate Fudge Cake","Dine-In","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Bakery","1"
"01/10/2022","13:15","HRBSK","","OV9","ชาเขียว/Green Milk Teaปกติ x 1100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","Cash","","","Iced","1"
"01/10/2022","13:22","YKQHZ","","OV9","ชอคโกแลต/Chocolateปกติ x 1100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","โอนเงิน","","","Iced","1"
"01/10/2022","13:22","YKQHZ","","OV9","I มอคค่า/Iced Mochaปกติ x 250% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","โอนเงิน","","","Iced","1"
"01/10/2022","13:25","UYBSZ","","OV9","I คาปูชิโน่/CappucinoIcedปกติ x 2100% x 1","Take Away","1","55","55.00","0","0","55.00","VATable","Counter","","","คนละครึ่ง","","","Iced","1"
